--env SUMMARY	--env FOLD
H7_EPIPHORA.gwas.imputed_v3.both_sexes.tsv	tsk398
H7_EYEADNEXOTH.gwas.imputed_v3.both_sexes.tsv	tsk399
H7_EYELIDDIS.gwas.imputed_v3.both_sexes.tsv	tsk400
H7_EYELIDFUNC.gwas.imputed_v3.both_sexes.tsv	tsk401
H7_EYELIDNAS.gwas.imputed_v3.both_sexes.tsv	tsk402
H7_EYEOTH.gwas.imputed_v3.both_sexes.tsv	tsk403
H7_EYEPOSTOP.gwas.imputed_v3.both_sexes.tsv	tsk404
H7_GLAUCCLOSEPRIM.gwas.imputed_v3.both_sexes.tsv	tsk405
H7_GLAUCNAS.gwas.imputed_v3.both_sexes.tsv	tsk406
H7_GLAUCPRIMOPEN.gwas.imputed_v3.both_sexes.tsv	tsk407
H7_GLAUCSUSP.gwas.imputed_v3.both_sexes.tsv	tsk408
H7_HORDEOLUM.gwas.imputed_v3.both_sexes.tsv	tsk409
H7_KERATITIS.gwas.imputed_v3.both_sexes.tsv	tsk410
H7_LACRIGLAND.gwas.imputed_v3.both_sexes.tsv	tsk411
H7_LACRIMALSYSTEM.gwas.imputed_v3.both_sexes.tsv	tsk412
H7_LENS.gwas.imputed_v3.both_sexes.tsv	tsk413
H7_MACULADEGEN.gwas.imputed_v3.both_sexes.tsv	tsk414
H7_OTHERCONJ.gwas.imputed_v3.both_sexes.tsv	tsk415
H7_PARASTRAB.gwas.imputed_v3.both_sexes.tsv	tsk416
H7_POSTOPEYENAS.gwas.imputed_v3.both_sexes.tsv	tsk417
H7_PTERYGIUM.gwas.imputed_v3.both_sexes.tsv	tsk418
H7_PTOSIS.gwas.imputed_v3.both_sexes.tsv	tsk419
H7_REFRAACCOMMODIS.gwas.imputed_v3.both_sexes.tsv	tsk420
H7_RETINALBREAK.gwas.imputed_v3.both_sexes.tsv	tsk421
H7_RETINALDETACH.gwas.imputed_v3.both_sexes.tsv	tsk422
H7_RETINALDETACHBREAK.gwas.imputed_v3.both_sexes.tsv	tsk423
H7_RETINALDETACHOTH.gwas.imputed_v3.both_sexes.tsv	tsk424
H7_RETINALDISOTH.gwas.imputed_v3.both_sexes.tsv	tsk425
H7_RETINANAS.gwas.imputed_v3.both_sexes.tsv	tsk426
H7_RETINAVASC.gwas.imputed_v3.both_sexes.tsv	tsk427
H7_RETVASCNAS.gwas.imputed_v3.both_sexes.tsv	tsk428
H7_STENOLACRI.gwas.imputed_v3.both_sexes.tsv	tsk429
H7_STRABNAS.gwas.imputed_v3.both_sexes.tsv	tsk430
H7_STRABOTH.gwas.imputed_v3.both_sexes.tsv	tsk431
H7_VISDISTNAS.gwas.imputed_v3.both_sexes.tsv	tsk432
H7_VISUDISTURB.gwas.imputed_v3.both_sexes.tsv	tsk433
H7_VITRBODYGLOBE.gwas.imputed_v3.both_sexes.tsv	tsk434
H7_VITRHAEMORR.gwas.imputed_v3.both_sexes.tsv	tsk435
H7_VITROTH.gwas.imputed_v3.both_sexes.tsv	tsk436
H7_XANTHELASMA.gwas.imputed_v3.both_sexes.tsv	tsk437
H71.gwas.imputed_v3.both_sexes.tsv	tsk438
H72.gwas.imputed_v3.both_sexes.tsv	tsk439
H73.gwas.imputed_v3.both_sexes.tsv	tsk440
H74.gwas.imputed_v3.both_sexes.tsv	tsk441
H8_BPV.gwas.imputed_v3.both_sexes.tsv	tsk442
H8_CERUMEN.gwas.imputed_v3.both_sexes.tsv	tsk443
H8_CHRON_SUPOTITIS.gwas.imputed_v3.both_sexes.tsv	tsk444
H8_CONSENHEARINGLOSS.gwas.imputed_v3.both_sexes.tsv	tsk445
H8_EXT_NAS.gwas.imputed_v3.both_sexes.tsv	tsk446
H8_EXTDISNAS.gwas.imputed_v3.both_sexes.tsv	tsk447
H8_EXTOTITIS.gwas.imputed_v3.both_sexes.tsv	tsk448
H8_HL_CON_NAS.gwas.imputed_v3.both_sexes.tsv	tsk449
H8_HL_NAS.gwas.imputed_v3.both_sexes.tsv	tsk450
H8_HL_SEN_NAS.gwas.imputed_v3.both_sexes.tsv	tsk451
H8_LABYRINTHITIS.gwas.imputed_v3.both_sexes.tsv	tsk452
H8_MED_SUPP.gwas.imputed_v3.both_sexes.tsv	tsk453
H8_MENIERE.gwas.imputed_v3.both_sexes.tsv	tsk454
H8_MYRINGNAS.gwas.imputed_v3.both_sexes.tsv	tsk455
H8_OTALGIA.gwas.imputed_v3.both_sexes.tsv	tsk456
H8_OTHHEARINGLOSS.gwas.imputed_v3.both_sexes.tsv	tsk457
H8_OTIMEDNAS.gwas.imputed_v3.both_sexes.tsv	tsk458
H8_OTORRHOEA.gwas.imputed_v3.both_sexes.tsv	tsk459
H8_PERCHRONDR.gwas.imputed_v3.both_sexes.tsv	tsk460
H8_VERTIGO.gwas.imputed_v3.both_sexes.tsv	tsk461
H80.gwas.imputed_v3.both_sexes.tsv	tsk462
H81.gwas.imputed_v3.both_sexes.tsv	tsk463
H83.gwas.imputed_v3.both_sexes.tsv	tsk464
H90.gwas.imputed_v3.both_sexes.tsv	tsk465
H91.gwas.imputed_v3.both_sexes.tsv	tsk466
H92.gwas.imputed_v3.both_sexes.tsv	tsk467
H93.gwas.imputed_v3.both_sexes.tsv	tsk468
HEARTFAIL.gwas.imputed_v3.both_sexes.tsv	tsk469
HYPOTHYROIDISM.gwas.imputed_v3.both_sexes.tsv	tsk470
HYPTENSPREG.gwas.imputed_v3.both_sexes.tsv	tsk471
I_INFECT_PARASIT.gwas.imputed_v3.both_sexes.tsv	tsk472
I08.gwas.imputed_v3.both_sexes.tsv	tsk473
I10.gwas.imputed_v3.both_sexes.tsv	tsk474
I12.gwas.imputed_v3.both_sexes.tsv	tsk475
I20.gwas.imputed_v3.both_sexes.tsv	tsk476
I21.gwas.imputed_v3.both_sexes.tsv	tsk477
I22.gwas.imputed_v3.both_sexes.tsv	tsk478
I24.gwas.imputed_v3.both_sexes.tsv	tsk479
I25.gwas.imputed_v3.both_sexes.tsv	tsk480
I26.gwas.imputed_v3.both_sexes.tsv	tsk481
I27.gwas.imputed_v3.both_sexes.tsv	tsk482
I30.gwas.imputed_v3.both_sexes.tsv	tsk483
I31.gwas.imputed_v3.both_sexes.tsv	tsk484
I33.gwas.imputed_v3.both_sexes.tsv	tsk485
I34.gwas.imputed_v3.both_sexes.tsv	tsk486
I35.gwas.imputed_v3.both_sexes.tsv	tsk487
I42.gwas.imputed_v3.both_sexes.tsv	tsk488
I44.gwas.imputed_v3.both_sexes.tsv	tsk489
I45.gwas.imputed_v3.both_sexes.tsv	tsk490
I46.gwas.imputed_v3.both_sexes.tsv	tsk491
I47.gwas.imputed_v3.both_sexes.tsv	tsk492
I48.gwas.imputed_v3.both_sexes.tsv	tsk493
I49.gwas.imputed_v3.both_sexes.tsv	tsk494
I50.gwas.imputed_v3.both_sexes.tsv	tsk495
I51.gwas.imputed_v3.both_sexes.tsv	tsk496
I60.gwas.imputed_v3.both_sexes.tsv	tsk497
I61.gwas.imputed_v3.both_sexes.tsv	tsk498
I62.gwas.imputed_v3.both_sexes.tsv	tsk499
I63.gwas.imputed_v3.both_sexes.tsv	tsk500
I64.gwas.imputed_v3.both_sexes.tsv	tsk501
I65.gwas.imputed_v3.both_sexes.tsv	tsk502
I67.gwas.imputed_v3.both_sexes.tsv	tsk503
I70.gwas.imputed_v3.both_sexes.tsv	tsk504
I71.gwas.imputed_v3.both_sexes.tsv	tsk505
I72.gwas.imputed_v3.both_sexes.tsv	tsk506
I73.gwas.imputed_v3.both_sexes.tsv	tsk507
I74.gwas.imputed_v3.both_sexes.tsv	tsk508
I77.gwas.imputed_v3.both_sexes.tsv	tsk509
I78.gwas.imputed_v3.both_sexes.tsv	tsk510
I80.gwas.imputed_v3.both_sexes.tsv	tsk511
I82.gwas.imputed_v3.both_sexes.tsv	tsk512
I83.gwas.imputed_v3.both_sexes.tsv	tsk513
I84.gwas.imputed_v3.both_sexes.tsv	tsk514
I85.gwas.imputed_v3.both_sexes.tsv	tsk515
I86.gwas.imputed_v3.both_sexes.tsv	tsk516
I87.gwas.imputed_v3.both_sexes.tsv	tsk517
I89.gwas.imputed_v3.both_sexes.tsv	tsk518
I9_ANEURYSM.gwas.imputed_v3.both_sexes.tsv	tsk519
I9_AORTANEUR.gwas.imputed_v3.both_sexes.tsv	tsk520
I9_AORTDIS.gwas.imputed_v3.both_sexes.tsv	tsk521
I9_ARTEMBTHR.gwas.imputed_v3.both_sexes.tsv	tsk522
I9_ARTEMBTHRLOW.gwas.imputed_v3.both_sexes.tsv	tsk523
I9_ARTOTH.gwas.imputed_v3.both_sexes.tsv	tsk524
I9_AVBLOCK.gwas.imputed_v3.both_sexes.tsv	tsk525
I9_CARDMPRI.gwas.imputed_v3.both_sexes.tsv	tsk526
I9_CARDMYO.gwas.imputed_v3.both_sexes.tsv	tsk527
I9_CARDMYOOTH.gwas.imputed_v3.both_sexes.tsv	tsk528
I9_CEREBDOTH.gwas.imputed_v3.both_sexes.tsv	tsk529
I9_CHD_NOREV.gwas.imputed_v3.both_sexes.tsv	tsk530
I9_CHD.gwas.imputed_v3.both_sexes.tsv	tsk531
I9_CONDUCTIO.gwas.imputed_v3.both_sexes.tsv	tsk532
I9_CORATHER.gwas.imputed_v3.both_sexes.tsv	tsk533
I9_DISVEINLYMPH.gwas.imputed_v3.both_sexes.tsv	tsk534
I9_DVTANDPULM.gwas.imputed_v3.both_sexes.tsv	tsk535
I9_ENDOCARD.gwas.imputed_v3.both_sexes.tsv	tsk536
I9_HEARTFAIL_NS.gwas.imputed_v3.both_sexes.tsv	tsk537
I9_HEARTFAIL.gwas.imputed_v3.both_sexes.tsv	tsk538
I9_HYPERTENSION.gwas.imputed_v3.both_sexes.tsv	tsk539
I9_HYPTENS.gwas.imputed_v3.both_sexes.tsv	tsk540
I9_HYPTENSHR.gwas.imputed_v3.both_sexes.tsv	tsk541
I9_HYPTENSPREG.gwas.imputed_v3.both_sexes.tsv	tsk542
I9_IHD.gwas.imputed_v3.both_sexes.tsv	tsk543
I9_INTRACRA.gwas.imputed_v3.both_sexes.tsv	tsk544
I9_K_CARDIAC.gwas.imputed_v3.both_sexes.tsv	tsk545
I9_LBBB.gwas.imputed_v3.both_sexes.tsv	tsk546
I9_MI_STRICT.gwas.imputed_v3.both_sexes.tsv	tsk547
I9_MI.gwas.imputed_v3.both_sexes.tsv	tsk548
I9_NONRHEVALV.gwas.imputed_v3.both_sexes.tsv	tsk549
I9_OTHILLHEART.gwas.imputed_v3.both_sexes.tsv	tsk550
I9_OTHOTH.gwas.imputed_v3.both_sexes.tsv	tsk551
I9_PAD.gwas.imputed_v3.both_sexes.tsv	tsk552
I9_PERICARD.gwas.imputed_v3.both_sexes.tsv	tsk553
I9_PHLETHROMBDVTLOW.gwas.imputed_v3.both_sexes.tsv	tsk554
I9_PULMOTHHD.gwas.imputed_v3.both_sexes.tsv	tsk555
I9_RHEUFEV.gwas.imputed_v3.both_sexes.tsv	tsk556
I9_RHEUVALV.gwas.imputed_v3.both_sexes.tsv	tsk557
I9_STR_EXH.gwas.imputed_v3.both_sexes.tsv	tsk558
I9_STR_SAH.gwas.imputed_v3.both_sexes.tsv	tsk559
I9_STR.gwas.imputed_v3.both_sexes.tsv	tsk560
I9_UAP.gwas.imputed_v3.both_sexes.tsv	tsk561
I9_VASCINT.gwas.imputed_v3.both_sexes.tsv	tsk562
I9_VTE.gwas.imputed_v3.both_sexes.tsv	tsk563
I95.gwas.imputed_v3.both_sexes.tsv	tsk564
IBD_BACT_INTEST_INFECTIONS.gwas.imputed_v3.both_sexes.tsv	tsk565
IBD_ENDOMETRIOSIS.gwas.imputed_v3.both_sexes.tsv	tsk566
IBD_PULM.gwas.imputed_v3.both_sexes.tsv	tsk567
IBD_VIRAL_HEPATITIS.gwas.imputed_v3.both_sexes.tsv	tsk568
ICDMAIN_ANY_ENTRY.gwas.imputed_v3.both_sexes.tsv	tsk569
II_NEOPLASM.gwas.imputed_v3.both_sexes.tsv	tsk570
III_BLOOD_IMMUN.gwas.imputed_v3.both_sexes.tsv	tsk571
ILD_DIFF_DG.gwas.imputed_v3.both_sexes.tsv	tsk572
INFLUENZA.gwas.imputed_v3.both_sexes.tsv	tsk573
IPF.gwas.imputed_v3.both_sexes.tsv	tsk574
IV_ENDOCRIN_NUTRIT.gwas.imputed_v3.both_sexes.tsv	tsk575
IX_CIRCULATORY.gwas.imputed_v3.both_sexes.tsv	tsk576
J01.gwas.imputed_v3.both_sexes.tsv	tsk577
J02.gwas.imputed_v3.both_sexes.tsv	tsk578
J03.gwas.imputed_v3.both_sexes.tsv	tsk579
J06.gwas.imputed_v3.both_sexes.tsv	tsk580
J10_ASTHMA_MAIN.gwas.imputed_v3.both_sexes.tsv	tsk581
J10_ASTHMA.gwas.imputed_v3.both_sexes.tsv	tsk582
J10_EXTERLUNG.gwas.imputed_v3.both_sexes.tsv	tsk583
J13.gwas.imputed_v3.both_sexes.tsv	tsk584
J15.gwas.imputed_v3.both_sexes.tsv	tsk585
J18.gwas.imputed_v3.both_sexes.tsv	tsk586
J20.gwas.imputed_v3.both_sexes.tsv	tsk587
J22.gwas.imputed_v3.both_sexes.tsv	tsk588
J31.gwas.imputed_v3.both_sexes.tsv	tsk589
J32.gwas.imputed_v3.both_sexes.tsv	tsk590
J33.gwas.imputed_v3.both_sexes.tsv	tsk591
J34.gwas.imputed_v3.both_sexes.tsv	tsk592
J35.gwas.imputed_v3.both_sexes.tsv	tsk593
J36.gwas.imputed_v3.both_sexes.tsv	tsk594
J38.gwas.imputed_v3.both_sexes.tsv	tsk595
J39.gwas.imputed_v3.both_sexes.tsv	tsk596
J40.gwas.imputed_v3.both_sexes.tsv	tsk597
J43.gwas.imputed_v3.both_sexes.tsv	tsk598
J44.gwas.imputed_v3.both_sexes.tsv	tsk599
J45.gwas.imputed_v3.both_sexes.tsv	tsk600
J46.gwas.imputed_v3.both_sexes.tsv	tsk601
J47.gwas.imputed_v3.both_sexes.tsv	tsk602
J69.gwas.imputed_v3.both_sexes.tsv	tsk603
J84.gwas.imputed_v3.both_sexes.tsv	tsk604
J86.gwas.imputed_v3.both_sexes.tsv	tsk605
J90.gwas.imputed_v3.both_sexes.tsv	tsk606
J93.gwas.imputed_v3.both_sexes.tsv	tsk607
J96.gwas.imputed_v3.both_sexes.tsv	tsk608
J98.gwas.imputed_v3.both_sexes.tsv	tsk609
K00.gwas.imputed_v3.both_sexes.tsv	tsk610
K01.gwas.imputed_v3.both_sexes.tsv	tsk611
K02.gwas.imputed_v3.both_sexes.tsv	tsk612
K04.gwas.imputed_v3.both_sexes.tsv	tsk613
K05.gwas.imputed_v3.both_sexes.tsv	tsk614
K06.gwas.imputed_v3.both_sexes.tsv	tsk615
K07.gwas.imputed_v3.both_sexes.tsv	tsk616
K08.gwas.imputed_v3.both_sexes.tsv	tsk617
K09.gwas.imputed_v3.both_sexes.tsv	tsk618
K10.gwas.imputed_v3.both_sexes.tsv	tsk619
K11_ACHAL.gwas.imputed_v3.both_sexes.tsv	tsk620
K11_ACUTGASTR.gwas.imputed_v3.both_sexes.tsv	tsk621
K11_ADHE.gwas.imputed_v3.both_sexes.tsv	tsk622
K11_APPENDIX.gwas.imputed_v3.both_sexes.tsv	tsk623
K11_APPENDOTH.gwas.imputed_v3.both_sexes.tsv	tsk624
K11_BARRET.gwas.imputed_v3.both_sexes.tsv	tsk625
K11_CHOLANGI.gwas.imputed_v3.both_sexes.tsv	tsk626
K11_CHRONGASTR.gwas.imputed_v3.both_sexes.tsv	tsk627
K11_CHRONPANC.gwas.imputed_v3.both_sexes.tsv	tsk628
K11_COELIAC.gwas.imputed_v3.both_sexes.tsv	tsk629
K11_GALLBILPANC.gwas.imputed_v3.both_sexes.tsv	tsk630
K11_GASTRODUOULC.gwas.imputed_v3.both_sexes.tsv	tsk631
K11_GIBLEEDING.gwas.imputed_v3.both_sexes.tsv	tsk632
K11_HERNIA.gwas.imputed_v3.both_sexes.tsv	tsk633
K11_ILEUS.gwas.imputed_v3.both_sexes.tsv	tsk634
K11_IMPACT.gwas.imputed_v3.both_sexes.tsv	tsk635
K11_LIVER.gwas.imputed_v3.both_sexes.tsv	tsk636
K11_OESOBST.gwas.imputed_v3.both_sexes.tsv	tsk637
K11_OESULC.gwas.imputed_v3.both_sexes.tsv	tsk638
K11_OTHDIG.gwas.imputed_v3.both_sexes.tsv	tsk639
K11_OTHDISOES.gwas.imputed_v3.both_sexes.tsv	tsk640
K11_OTHGASTR.gwas.imputed_v3.both_sexes.tsv	tsk641
K11_OTHILEUS.gwas.imputed_v3.both_sexes.tsv	tsk642
K11_PANCOTH.gwas.imputed_v3.both_sexes.tsv	tsk643
K11_PERITON.gwas.imputed_v3.both_sexes.tsv	tsk644
K11_VOLVU.gwas.imputed_v3.both_sexes.tsv	tsk645
K11.gwas.imputed_v3.both_sexes.tsv	tsk646
K12.gwas.imputed_v3.both_sexes.tsv	tsk647
K13.gwas.imputed_v3.both_sexes.tsv	tsk648
K14.gwas.imputed_v3.both_sexes.tsv	tsk649
K20.gwas.imputed_v3.both_sexes.tsv	tsk650
K21.gwas.imputed_v3.both_sexes.tsv	tsk651
K22.gwas.imputed_v3.both_sexes.tsv	tsk652
K25.gwas.imputed_v3.both_sexes.tsv	tsk653
K26.gwas.imputed_v3.both_sexes.tsv	tsk654
K29.gwas.imputed_v3.both_sexes.tsv	tsk655
K30.gwas.imputed_v3.both_sexes.tsv	tsk656
K31.gwas.imputed_v3.both_sexes.tsv	tsk657
K35.gwas.imputed_v3.both_sexes.tsv	tsk658
K37.gwas.imputed_v3.both_sexes.tsv	tsk659
K38.gwas.imputed_v3.both_sexes.tsv	tsk660
K40.gwas.imputed_v3.both_sexes.tsv	tsk661
K41.gwas.imputed_v3.both_sexes.tsv	tsk662
K42.gwas.imputed_v3.both_sexes.tsv	tsk663
K43.gwas.imputed_v3.both_sexes.tsv	tsk664
K44.gwas.imputed_v3.both_sexes.tsv	tsk665
K46.gwas.imputed_v3.both_sexes.tsv	tsk666
K50.gwas.imputed_v3.both_sexes.tsv	tsk667
K51.gwas.imputed_v3.both_sexes.tsv	tsk668
K52.gwas.imputed_v3.both_sexes.tsv	tsk669
K55.gwas.imputed_v3.both_sexes.tsv	tsk670
K56.gwas.imputed_v3.both_sexes.tsv	tsk671
K57.gwas.imputed_v3.both_sexes.tsv	tsk672
K58.gwas.imputed_v3.both_sexes.tsv	tsk673
K59.gwas.imputed_v3.both_sexes.tsv	tsk674
K60.gwas.imputed_v3.both_sexes.tsv	tsk675
K61.gwas.imputed_v3.both_sexes.tsv	tsk676
K62.gwas.imputed_v3.both_sexes.tsv	tsk677
K63.gwas.imputed_v3.both_sexes.tsv	tsk678
K65.gwas.imputed_v3.both_sexes.tsv	tsk679
K66.gwas.imputed_v3.both_sexes.tsv	tsk680
K70.gwas.imputed_v3.both_sexes.tsv	tsk681
K74.gwas.imputed_v3.both_sexes.tsv	tsk682
K75.gwas.imputed_v3.both_sexes.tsv	tsk683
K76.gwas.imputed_v3.both_sexes.tsv	tsk684
K80.gwas.imputed_v3.both_sexes.tsv	tsk685
K81.gwas.imputed_v3.both_sexes.tsv	tsk686
K82.gwas.imputed_v3.both_sexes.tsv	tsk687
K83.gwas.imputed_v3.both_sexes.tsv	tsk688
K85.gwas.imputed_v3.both_sexes.tsv	tsk689
K86.gwas.imputed_v3.both_sexes.tsv	tsk690
K90.gwas.imputed_v3.both_sexes.tsv	tsk691
K91.gwas.imputed_v3.both_sexes.tsv	tsk692
K92.gwas.imputed_v3.both_sexes.tsv	tsk693
KNEE_ARTHROSIS.gwas.imputed_v3.both_sexes.tsv	tsk694
KRA_PSY_ALCOH.gwas.imputed_v3.both_sexes.tsv	tsk695
KRA_PSY_ANXIETY.gwas.imputed_v3.both_sexes.tsv	tsk696
KRA_PSY_ANYMENTAL_SUICID.gwas.imputed_v3.both_sexes.tsv	tsk697
KRA_PSY_ANYMENTAL.gwas.imputed_v3.both_sexes.tsv	tsk698
KRA_PSY_DEMENTIA.gwas.imputed_v3.both_sexes.tsv	tsk699
KRA_PSY_MOOD.gwas.imputed_v3.both_sexes.tsv	tsk700
KRA_PSY_PERSON.gwas.imputed_v3.both_sexes.tsv	tsk701
KRA_PSY_SCHIZODEL.gwas.imputed_v3.both_sexes.tsv	tsk702
KRA_PSY_SUBSTANCE.gwas.imputed_v3.both_sexes.tsv	tsk703
L02.gwas.imputed_v3.both_sexes.tsv	tsk704
L03.gwas.imputed_v3.both_sexes.tsv	tsk705
L05.gwas.imputed_v3.both_sexes.tsv	tsk706
L08.gwas.imputed_v3.both_sexes.tsv	tsk707
L12_ACTINKERA.gwas.imputed_v3.both_sexes.tsv	tsk708
L12_ATROPHICSKIN.gwas.imputed_v3.both_sexes.tsv	tsk709
L12_DERM_NAS.gwas.imputed_v3.both_sexes.tsv	tsk710
L12_DERMATITISNAS.gwas.imputed_v3.both_sexes.tsv	tsk711
L12_EPIDERMALTHICKOTH.gwas.imputed_v3.both_sexes.tsv	tsk712
L12_EPIDERMTHICKNAS.gwas.imputed_v3.both_sexes.tsv	tsk713
L12_ERYTH_NAS.gwas.imputed_v3.both_sexes.tsv	tsk714
L12_ERYTHEMATOUSOTH.gwas.imputed_v3.both_sexes.tsv	tsk715
L12_FOLICULAROTH.gwas.imputed_v3.both_sexes.tsv	tsk716
L12_FOLLICULARNAS.gwas.imputed_v3.both_sexes.tsv	tsk717
L12_FOREIGNBODYGRANULOMA.gwas.imputed_v3.both_sexes.tsv	tsk718
L12_GRANULOMASKINNAS.gwas.imputed_v3.both_sexes.tsv	tsk719
L12_GRANULOMATOUSSKIN.gwas.imputed_v3.both_sexes.tsv	tsk720
L12_HIDRADENITISSUP.gwas.imputed_v3.both_sexes.tsv	tsk721
L12_HYPERTROPHICNAS.gwas.imputed_v3.both_sexes.tsv	tsk722
L12_HYPERTROPHICSKIN.gwas.imputed_v3.both_sexes.tsv	tsk723
L12_HYPETROPHICSCAR.gwas.imputed_v3.both_sexes.tsv	tsk724
L12_INFECT_SKIN_OTHER.gwas.imputed_v3.both_sexes.tsv	tsk725
L12_LICHENSCLERATROPH.gwas.imputed_v3.both_sexes.tsv	tsk726
L12_LICHSIMPANDPRURIGO.gwas.imputed_v3.both_sexes.tsv	tsk727
L12_NAIL_INGROW.gwas.imputed_v3.both_sexes.tsv	tsk728
L12_NAILDIS.gwas.imputed_v3.both_sexes.tsv	tsk729
L12_NAILNAS.gwas.imputed_v3.both_sexes.tsv	tsk730
L12_NONIONRADISKIN.gwas.imputed_v3.both_sexes.tsv	tsk731
L12_NONIONRADISKINNAS.gwas.imputed_v3.both_sexes.tsv	tsk732
L12_OTHERDISSKINANDSUBCUTIS.gwas.imputed_v3.both_sexes.tsv	tsk733
L12_OTHERMELANIN.gwas.imputed_v3.both_sexes.tsv	tsk734
L12_OTHPIGMENTATION.gwas.imputed_v3.both_sexes.tsv	tsk735
L12_PIGMENTNAS.gwas.imputed_v3.both_sexes.tsv	tsk736
L12_PSORI_ARTHRO.gwas.imputed_v3.both_sexes.tsv	tsk737
L12_PSORI_NAS.gwas.imputed_v3.both_sexes.tsv	tsk738
L12_PSORIASIS.gwas.imputed_v3.both_sexes.tsv	tsk739
L12_PYOGENGRANUL.gwas.imputed_v3.both_sexes.tsv	tsk740
L12_ROSACEA.gwas.imputed_v3.both_sexes.tsv	tsk741
L12_SCARCONDITIONS.gwas.imputed_v3.both_sexes.tsv	tsk742
L12_SKINSUBCUTISNAS.gwas.imputed_v3.both_sexes.tsv	tsk743
L12_URTICA_NAS.gwas.imputed_v3.both_sexes.tsv	tsk744
L12_URTICARIA.gwas.imputed_v3.both_sexes.tsv	tsk745
L27.gwas.imputed_v3.both_sexes.tsv	tsk746
L28.gwas.imputed_v3.both_sexes.tsv	tsk747
L29.gwas.imputed_v3.both_sexes.tsv	tsk748
L30.gwas.imputed_v3.both_sexes.tsv	tsk749
L40.gwas.imputed_v3.both_sexes.tsv	tsk750
L43.gwas.imputed_v3.both_sexes.tsv	tsk751
L50.gwas.imputed_v3.both_sexes.tsv	tsk752
L53.gwas.imputed_v3.both_sexes.tsv	tsk753
L57.gwas.imputed_v3.both_sexes.tsv	tsk754
L60.gwas.imputed_v3.both_sexes.tsv	tsk755
L71.gwas.imputed_v3.both_sexes.tsv	tsk756
L72.gwas.imputed_v3.both_sexes.tsv	tsk757
L73.gwas.imputed_v3.both_sexes.tsv	tsk758
L81.gwas.imputed_v3.both_sexes.tsv	tsk759
L82.gwas.imputed_v3.both_sexes.tsv	tsk760
L85.gwas.imputed_v3.both_sexes.tsv	tsk761
L90.gwas.imputed_v3.both_sexes.tsv	tsk762
L91.gwas.imputed_v3.both_sexes.tsv	tsk763
L92.gwas.imputed_v3.both_sexes.tsv	tsk764
L97.gwas.imputed_v3.both_sexes.tsv	tsk765
L98.gwas.imputed_v3.both_sexes.tsv	tsk766
LUNG_CANCER_MESOT.gwas.imputed_v3.both_sexes.tsv	tsk767
LUNG_CANCER.gwas.imputed_v3.both_sexes.tsv	tsk768
M00.gwas.imputed_v3.both_sexes.tsv	tsk769
M05.gwas.imputed_v3.both_sexes.tsv	tsk770
M06.gwas.imputed_v3.both_sexes.tsv	tsk771
M10.gwas.imputed_v3.both_sexes.tsv	tsk772
M13_ACHILLESTEND.gwas.imputed_v3.both_sexes.tsv	tsk773
M13_ADHCAPSULITIS.gwas.imputed_v3.both_sexes.tsv	tsk774
M13_ALGONEURO.gwas.imputed_v3.both_sexes.tsv	tsk775
M13_ANKLEFOOT.gwas.imputed_v3.both_sexes.tsv	tsk776
M13_ARTHRITISNAS.gwas.imputed_v3.both_sexes.tsv	tsk777
M13_ARTHROSIS_OTH.gwas.imputed_v3.both_sexes.tsv	tsk778
M13_ARTHROSIS.gwas.imputed_v3.both_sexes.tsv	tsk779
M13_BAKERCYST.gwas.imputed_v3.both_sexes.tsv	tsk780
M13_BONEDISNAS.gwas.imputed_v3.both_sexes.tsv	tsk781
M13_BURSOPATHY.gwas.imputed_v3.both_sexes.tsv	tsk782
M13_CALCIFICTEND.gwas.imputed_v3.both_sexes.tsv	tsk783
M13_CARTILAGE.gwas.imputed_v3.both_sexes.tsv	tsk784
M13_CERVICALGIA.gwas.imputed_v3.both_sexes.tsv	tsk785
M13_CHRONDROPATHIES.gwas.imputed_v3.both_sexes.tsv	tsk786
M13_CONTRACTUREJOINT.gwas.imputed_v3.both_sexes.tsv	tsk787
M13_DEFORMDORSO.gwas.imputed_v3.both_sexes.tsv	tsk788
M13_DEQUERVAIN.gwas.imputed_v3.both_sexes.tsv	tsk789
M13_DISSYNOTENDNAS.gwas.imputed_v3.both_sexes.tsv	tsk790
M13_DORSALGIA.gwas.imputed_v3.both_sexes.tsv	tsk791
M13_DORSALGIANAS.gwas.imputed_v3.both_sexes.tsv	tsk792
M13_DORSOPATHYOTH.gwas.imputed_v3.both_sexes.tsv	tsk793
M13_DUPUTRYEN.gwas.imputed_v3.both_sexes.tsv	tsk794
M13_ENTESOPATHYFOOT.gwas.imputed_v3.both_sexes.tsv	tsk795
M13_ENTESOPATHYLOW.gwas.imputed_v3.both_sexes.tsv	tsk796
M13_ENTESOPATHYNAS.gwas.imputed_v3.both_sexes.tsv	tsk797
M13_ENTESOPATHYOTH.gwas.imputed_v3.both_sexes.tsv	tsk798
M13_FIBROBLASTIC.gwas.imputed_v3.both_sexes.tsv	tsk799
M13_FINGERDEFORM.gwas.imputed_v3.both_sexes.tsv	tsk800
M13_FLEXION.gwas.imputed_v3.both_sexes.tsv	tsk801
M13_FOREIGNBODY.gwas.imputed_v3.both_sexes.tsv	tsk802
M13_GANGLION.gwas.imputed_v3.both_sexes.tsv	tsk803
